Property~Id элемента~Id;Property~Имя~DisplayName;Property~Полное имя~FullName;Property~Классификация~ItemTypeDisplayName;Link~Прием значения из~MasterSCADA.ReadValue;Link~Передача значения в~MasterSCADA.ReadValue
2227167;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Местный режим;MasterSCADA.Attribute;;
2227168;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Дистанционный режим;MasterSCADA.Attribute;;
2227169;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227170;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_5.Ключ управления;MasterSCADA.Attribute;;
2227183;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Название механизма;MasterSCADA.Attribute;;
2227184;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Текущий режим;MasterSCADA.Attribute;;
2227185;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Текущее положение;MasterSCADA.Attribute;;
2227186;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Уставка;MasterSCADA.Attribute;;
2227187;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Подпись при наведении;MasterSCADA.Attribute;;
2227188;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Слово состояния;MasterSCADA.Attribute;;
2227189;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Слово положения;MasterSCADA.Attribute;;
2227190;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Блокировка управления;MasterSCADA.Attribute;;
2227191;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.В процессе открывания;MasterSCADA.Attribute;;
2227192;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.В процессе закрывания;MasterSCADA.Attribute;;
2227193;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Автоматический режим;MasterSCADA.Attribute;;
2227194;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Ручной режим;MasterSCADA.Attribute;;
2227195;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Статус режим;MasterSCADA.Attribute;;
2227196;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Сброс;MasterSCADA.Attribute;;
2227197;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Открыть;MasterSCADA.Attribute;;
2227198;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Закрыть;MasterSCADA.Attribute;;
2227199;Подтверждение уставки;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Подтверждение уставки;MasterSCADA.Attribute;;
2227200;Местный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Местный режим;MasterSCADA.Attribute;;
2227201;Дистанционный режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Дистанционный режим;MasterSCADA.Attribute;;
2227202;Регулируемая_НеРегулируемая;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Регулируемая_НеРегулируемая;MasterSCADA.Attribute;;
2227203;Ключ управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZP_2_6.Ключ управления;MasterSCADA.Attribute;;
2227216;Название механизма;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Название механизма;MasterSCADA.Attribute;;
2227217;Текущий режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Текущий режим;MasterSCADA.Attribute;;
2227218;Текущее положение;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Текущее положение;MasterSCADA.Attribute;;
2227219;Уставка;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Уставка;MasterSCADA.Attribute;;
2227220;Подпись при наведении;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Подпись при наведении;MasterSCADA.Attribute;;
2227221;Слово состояния;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Слово состояния;MasterSCADA.Attribute;;
2227222;Слово положения;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Слово положения;MasterSCADA.Attribute;;
2227223;Блокировка управления;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Блокировка управления;MasterSCADA.Attribute;;
2227224;В процессе открывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.В процессе открывания;MasterSCADA.Attribute;;
2227225;В процессе закрывания;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.В процессе закрывания;MasterSCADA.Attribute;;
2227226;Автоматический режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Автоматический режим;MasterSCADA.Attribute;;
2227227;Ручной режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Ручной режим;MasterSCADA.Attribute;;
2227228;Статус режим;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Статус режим;MasterSCADA.Attribute;;
2227229;Сброс;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Сброс;MasterSCADA.Attribute;;
2227230;Открыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Открыть;MasterSCADA.Attribute;;
2227231;Закрыть;Объекты.Сигналы и экземпляры.Узел 2.Механизмы.Gate_ZSH_2_7.Закрыть;MasterSCADA.Attribute;;
